,Note that Apple returns only start in 1981!,,,,,,,,,
,,,,,,,,,,
,,,CAPM factor,incl. in FF3,incl. in FF3,incl. in FF5,incl. in FF5,,,
Month,AAPL return,RF,Mkt-RF,SMB,HML,RMW,CMA,,,
200203,9.08,0.13,4.24,4.22,1.1,-1.6,0.58,,,
200204,2.53,0.15,-5.2,6.62,3.93,4.28,5.39,,,
200205,-4.00,0.14,-1.38,-3.04,1.69,2.26,2.41,,,
200206,-23.95,0.13,-7.21,3.8,0.13,3.93,2.54,,,
200207,-13.88,0.15,-8.18,-6.23,-3.41,3.98,-0.73,,,
200208,-3.34,0.14,0.5,-1.23,2.49,1.47,-1.61,,,
200209,-1.69,0.14,-10.35,3.08,1.31,3.22,-2.29,,,
200210,10.83,0.14,7.84,-4.12,-5.46,-3.14,0.92,,,
200211,-3.55,0.12,5.96,2.83,-1.15,-9.5,5.16,,,
200212,-7.55,0.11,-5.76,0.54,2.25,6.2,-1.61,,,
200301,0.21,0.1,-2.57,0.83,-0.93,-0.61,0.81,,,
200302,4.53,0.09,-1.88,-0.89,-1.45,1.11,-0.54,,,
200303,-5.80,0.1,1.09,0.58,-2.09,1.99,-0.69,,,
200304,0.57,0.1,8.22,1.03,1.03,-4.66,1.14,,,
200305,26.23,0.09,6.05,4.79,-0.3,-7.11,3.22,,,
200306,6.18,0.1,1.42,1.68,0.66,0.54,-0.32,,,
200307,10.60,0.07,2.35,4.71,-1.15,-4.07,1.89,,,
200308,7.26,0.07,2.34,2.53,2.03,-2.39,2.19,,,
200309,-8.36,0.08,-1.24,0.51,0.02,1.16,0.28,,,
200310,10.47,0.07,6.08,2.63,1.75,-1.55,1.58,,,
200311,-8.65,0.07,1.35,2.19,1.86,-0.18,1.69,,,
200312,2.20,0.08,4.29,-2.7,2.42,-0.04,1,,,
200401,5.57,0.07,2.15,2.56,1.98,-3.59,3.34,,,
200402,6.03,0.06,1.4,-0.89,0.49,2.54,-1.35,,,
200403,13.04,0.09,-1.32,2.1,0.21,1.59,-1.04,,,
200404,-4.66,0.08,-1.83,-2.18,-2.62,3.13,-2.82,,,
200405,8.84,0.06,1.17,-0.41,-0.39,-1.08,-0.09,,,
200406,15.97,0.08,1.86,2.55,1.38,1.02,-0.39,,,
200407,-0.61,0.1,-4.06,-2.99,4.11,5.28,-1.63,,,
200408,6.65,0.11,0.08,-1.28,1.03,1.3,-1.41,,,
200409,12.35,0.11,1.6,3.3,-0.25,-1.26,-1.88,,,
200410,35.23,0.11,1.43,0.29,-0.62,-0.08,0.41,,,
200411,27.96,0.15,4.54,4.13,1.8,-1.09,-0.23,,,
200412,-3.95,0.16,3.43,0.01,-0.06,-1.34,0.5,,,
200501,19.41,0.16,-2.76,-1.11,1.96,3.12,-1.37,,,
200502,16.67,0.16,1.89,-0.29,1.64,1.33,-0.06,,,
200503,-7.11,0.21,-1.97,-1.41,1.56,0.49,1.09,,,
200504,-13.46,0.21,-2.61,-4.04,-0.35,0.82,-0.89,,,
200505,10.26,0.24,3.65,2.71,-0.83,-1.37,0.26,,,
200506,-7.42,0.23,0.57,3.28,2.62,1.14,-0.53,,,
200507,15.87,0.24,3.92,2.79,-0.51,-1.43,-0.98,,,
200508,9.94,0.3,-1.22,-0.88,1.27,-2.32,0.45,,,
200509,14.33,0.29,0.49,-0.29,0.77,0.56,-0.57,,,
200510,7.42,0.27,-2.02,-1.4,0.23,-0.59,-1.26,,,
200511,17.76,0.31,3.61,0.79,-1.18,-0.68,-1.17,,,
200512,6.00,0.32,-0.25,-0.25,0.44,0.29,0.21,,,
200601,5.04,0.35,3.04,5.76,1.12,-0.97,-0.53,,,
200602,-9.30,0.34,-0.3,-0.42,-0.25,-0.51,2.03,,,
200603,-8.42,0.37,1.46,3.43,0.61,-0.24,-0.53,,,
200604,12.23,0.36,0.73,-0.81,2.59,1.31,-0.2,,,
200605,-15.09,0.43,-3.57,-3.01,2.55,0.89,1.31,,,
200606,-4.18,0.4,-0.35,-0.23,0.87,1.41,-0.12,,,
200607,18.67,0.4,-0.78,-3.67,2.94,1.74,0.93,,,
200608,-0.16,0.42,2.03,0.44,-1.72,-1.76,2.15,,,
200609,13.46,0.41,1.84,-1.44,0.05,0.91,0.54,,,
200610,5.33,0.41,3.23,1.92,-0.04,-0.29,0.24,,,
